abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
n.,17)  Olimpia - Siarka (s. 17)  Pelikan - Unia (n. 11.15)  Concordia - Radomiak (<mask> 12)  Motor - Wisła Płock (n. 17)  Siarka - Puszcza (ś. 17)  Radomiak - Wisła Puławy,niedziela,niedziela,"tensor([[   911,    271,    259, 215293,    259,    264,   1124,  15693,    274,
            263,    260,    911,    271,  83631,    502,    259,    264,   6988,
            262,    274,    272,    260,    259, 189939,    271,  92839,    539,
            259,    264,   8120,  62097,    314,    274,   2709,  55114,    669,
            644,    271,   9343,    259,    264,  69143,   4005, 150557,  44429,
            274,    272,    260,    911,    271,   1124,  15693,    259,    264,
           4852, 170059,    274,   3376,    260,    911,    271,   8120,  62097,
            314,    259,    264,  69143,   4005,   4852,  80070,    276,      1]])","tensor([[   716, 110930,      1]])"
żar.,"Trudno pozostać stylowym, gdy z nieba leje się <mask> Nawet najwięksi dżentelmeni podczas gorących letnich dni marzą o zrzuceniu marynarki",żar.,żar.,"tensor([[  1830, 160582,  48396,   1209,  18562,  14202,    261,    259,  11391,
            397,    716,    835,  96079,    947,   1042,  55114,    669,    727,
           7765,   1895, 185623,    522,    331,   1610,    278,   2366,  17247,
           1012,  12347,  15920,  56632,   3256,  72579,  11635,    496, 120093,
            259,    268,    397, 124356,  17860, 155528,    272,  46633,      1]])","tensor([[   259, 119115,    260,      1]])"
p.,"Handlowy „Spomer” Sp. z o.o. ul. Biskupska 7, 14-200 Iława tel. (89) 648 82 22 – <mask> Dorota Szych  Przedsiębiorstwo Usług Komunalnych Sp. z o.o. w Kisielicach ul. Kolejowa",pani,pani,"tensor([[203176,   4914,    565,    399,  63659,    295,    365,   5993,    260,
            397,    259,    268,    260,    268,    260,    259,    454,    260,
          13633,   9035,   1855,   6469,    818,  41140,    336,  80070,    262,
          12041,    260,    259, 138392, 122798,  11906,   1024,    322,   1042,
          55114,    669,  79361,    422,   9580,   3039,  96029,    522, 182687,
            723,  40709,    581,  81480,  64855,  90855,   5993,    260,    397,
            259,    268,    260,    268,    260,    414,  35841,    266, 138133,
           1483,    259,    454,    260,  44333,    385,   4553,      1]])","tensor([[19058,     1]])"
g.,całkowicie. Lądowanie śmigłowca LPR g. 5.28 - Autostrada A2 w stronę Łodzi odblokowana <mask> 5.45 - Autostrada A2 w stronę Warszawy częściowo odblokowana. Ruch odbywa się pasem,godzina,godzina,"tensor([[   317,  91215,  80739,    260,    458,  55330,   8748,    259, 135204,
          68224,    750,    259, 233317,    259,    318,    260,    259, 219900,
            259,    264,   3195,  63963,    298,    338,    414,   9693,   1241,
          27410,  64403,    682,  55951,  33888,   1042,  55114,    669,    259,
         202230,    259,    264,   3195,  63963,    298,    338,    414,   9693,
           1241,  49629,    276,    259,  12381,   9394,    682,  55951,  33888,
            260,   6705,    697,    682,  97333,    947,    886,    470,      1]])","tensor([[29324,   262,     1]])"
ś.p.,"(8 mln rocznie – pierwsze miejsce wśród tego typu placówek w Polsce). W 2005 roku, <mask> Lech Kaczyński pełniąc obowiązki prezydenta Warszawy zaproponował ówczesnemu ministrowi",świętej pamięci,świętej pamięci,"tensor([[ 14718,    259,  43022,   5345,  41891,    322,  13615,    265,   8401,
            265,    414,   3376,  17197,    259,   4139,   5863,    273,  19831,
         122699,    414,  24408,    541,    483,    564,   3087,   4351,    261,
           1042,  55114,    669, 125680,   1362, 163681,    259,  18414,  58975,
            259,  31233,    650,    259, 111956,    422,  49629,    276,    466,
         155570,  23126,    259,   1174,  66701,  22790,  23843,  20348,      1]])","tensor([[ 86367,   1057,    259, 105269,    769,      1]])"
s.,"Strażak Mokrzyska - Olimpia Wojnicz, Dunajec Zakliczyn - Olimpia Bucze (wszystkie <mask> 17).  Klasa okręgowa Tarnów, grupa II: Bruk-Bet Termalica II - Nowa Jastrząbka,",sobota,sobota,"tensor([[  1819, 142871,    314,  42490,    286,  32220,    259,    264,    259,
         215293,  49486,    516,   2268,    261,  43353,    608,    297,  49833,
         206502,    272,    259,    264,    259, 215293,   1153,  23784,    274,
          34654,   1042,  55114,    669,    911,    483,  77013,    262,  81043,
         222012,    262, 101825,   1174,    261,   4958,    262,   2052,    267,
          46785,    264,  27964,  55420,    262,  33858,   2052,    259,    264,
           6928,    262,  17829,    270, 120093,  77852,    261,      1]])","tensor([[  259, 41784,   262,     1]])"
naj.,Egipt do star cza Izra elo wi gaz ru ro cią giem bie gną cym przez pół wy sep Sy <mask> Egip skie do sta wy po kry wa ją 43 pro cent za po trze bo wa nia pań stwa ży dow skie go,naj.,naj.,"tensor([[   259,  69844,    342,   4527,    259,  58226, 208702,    362,    268,
          21948,  13777,   6079,   5345,    259, 138934,    259, 147439,    837,
            265,    259,    318,   5103, 106634,   3715,  49858,   1628,  15110,
           8485,   1042,  55114,    669,  90833,    325,    259,  15527,    342,
           3736,   1628,    485,  19559,    683,    259,   2684,   5328,    731,
          22233,    466,    485,  81381,    759,    683,    259,   2069,    555,
           9161,    259,  37679,    259,   5318,  86127,    259,  15527,   1002,
              1]])","tensor([[1895,  260,    1]])"
im. prof. W.,"Pacjent z dwoma odciętymi palcami, który z Szpitala Klinicznego <mask> Orłowskiego został odesłany ponownie do lecznicy w Grodzisku Mazowieckim zamierza",imienia profesora W.,imię profesor W.,"tensor([[ 35267,  30497,    397,    331, 194349,  76184, 132851,    711, 114426,
           1708,    261,    259,   1743,    276,    397,   9580,  40690,    262,
         104046, 178393,   1042,  55114,    669,   3294,   2898, 110350,    259,
          14183,    682,    265,  60462,    276,   8613,  99481,    342,    259,
          65356,  42328,    414,  23243,  18324,   2281,    352, 223032,    282,
            466, 133434,      1]])","tensor([[   259,    266, 101793,  19147,    262,    564,    260,      1]])"
m.,"list światowych, ich rywalizacja w mityngach przeniosła się już poza granicę 81 <mask> Nowicki – brązowy medalista olimpijski z Rio, niedawno poprawił w Szekesfehervar",metrów,metr,"tensor([[  2602,  21902,   4579,    261,   1356,    259,  63757, 130699,    414,
            749,   4865,  21231,   3645,    516, 159744,    947,   1218,   1610,
          37227,    259,  73156,   1241,  11819,   1042,  55114,    669,   6928,
         173007,    322,    330,  29750, 189241,    499,  92739,  70276,  44067,
            397,   9169,    261,    716,  46868,    268,  52868,  34033,    414,
         125063,  16954,    367,  32380,   1018,      1]])","tensor([[  824, 64058,     1]])"
s.,"Laurisz, Przedsiębiorstwo społeczne - konceptualizacja, 'Ekonomia Społeczna' 2006, <mask> 3.  9 J. Hausner, S. Mazur, N. Laurisz, Przedsiębiorstwo społeczne..., op. cit,",strona,strona,"tensor([[ 73434,   2781,    261,  96029,    522, 182687,    723,  40709,  55691,
            265,    259,    264,  66884,    273, 130699,    261,    259,    277,
         199753,    262,    320, 157003,    262,    277,   2466,    261,   1042,
          55114,    669,   1501,    774,    664,    260,  10264,   1946,    261,
            320,    260, 153593,    286,    261,    441,    260,  73434,   2781,
            261,  96029,    522, 182687,    723,  40709,  55691,    265,    302,
            261,    585,    260,  14690,    261,      1]])","tensor([[9693,  262,    1]])"
o.,"Rydzyka nie oskarżyły mnie o rzekomą zmianę światopoglądu. A zrobiły to dlatego, że <mask> Rydzykowi myśl, iż mógłbym wrócić do życia publicznego, nie jest miła z prostego",ojcu,ojciec,"tensor([[121882, 102146,    716,    259, 183251,  80108,    276,    259,  14287,
            259,    268,    259,  20318,   3070,    761,    259,  25317,   1241,
          21902,   2567,  83920,    273,    260,    298,  26312,   4430,    288,
           2506,   4139,    261,   1810,   1042,  55114,    669, 121882,   2938,
          44606,  37740,    261,    259,  27491,  14493,    318, 117838,    259,
          40824,   7155,    342,  23106,    262,  56243,   1796,    261,    716,
           1402,    658,   4005,    397,  11284,   4139,      1]])","tensor([[ 259, 1171, 2346,    1]])"
p. pł.,"km juniorów 56,32,84. Brązowe medale przypadły: Soni Świetlik w biegu na 100m <mask> 15,92 ( 1.7), Dagmarze Świetlik w biegu na 400 m 61,49 (rek. życiowy), Adamowi",przez płotki,przez płotki,"tensor([[  1006,  43599,   1174, 118422,   3322,    261,  65367,    364,  29750,
         139156,    499,   1781,  10207,   4430,    267, 155832, 138227,  58371,
            414,  81510,    273,    294,    966,    282,   1042,  55114,    669,
           7057,   5173,    274,  40218,    506,  14480,   2696,   1043, 138227,
          58371,    414,  81510,    273,    294,   3983,    326,    570, 215882,
            274,  12319,    260,  23106,   4914,    506,  12527,  20348,      1]])","tensor([[  3715,    259, 157250,  31365,      1]])"
m. in.,"długofalowego, w pewnym stopniu przyczyniła się do kryzysu finansowego? Taka teza pojawia się <mask> w „Liniach Uskoku"" Raghurama Rajana oraz „Democrisis"" Boba McKee i Davida Roche'a.",między innymi,między innymi,"tensor([[ 72860,  17395,   8704,    261,    414,    603, 122581,    259,  64516,
            273,   2890,  88593,   4005,    947,    342,  19559,   2938,   2172,
          16806,   8704,    291,  33913,    259,  99813,  35475,  75447,    947,
           1042,  55114,    669,    414,    565,   9252,  63498,   6206, 129615,
            311,  26936,   7800,   2085,  27286,    377,    259,   3711,    565,
         148690,  30961,    311,  17408,    262,  72763,    265,    265,    259,
            266,   4723,    262,  80251,    277,    262,    260,      1]])","tensor([[47485,   281, 17981,     1]])"
w.,"autorytarne decyzje Kongregacji Nauki Wiary.  Liczba teologów katolickich, którzy w XX <mask> wypowiadali publicznie poglądy sprzeczne z Magisterium Kościoła, przekroczyła wszelką",wieku,wiek,"tensor([[  4796,    276,   1868,    405,    269,  41779,    608, 193556,    318,
           6723,    727,  18063,   5469,   3137,    260,    259,  71496,    400,
          36774,   1174,    259, 177435,   2623,    261,    259,   1743,   2938,
            414,  20944,   1042,  55114,    669,   1628,  39012,    494,  56243,
            634,    421,  83920,    276,    259,    263, 218675,    405,    397,
         180523,    265,  76850,    259,  95557, 103382,    261, 126318,    268,
         178064,    259,  18969,    280,   5665,      1]])","tensor([[1968,  662,    1]])"
d.,"bbl/d. Tym samym roczne tempo wzrostu produkcji ropy w USA sięgnęło już 1,5 mln bbl/<mask> Może to być istotny czynnik stanowiący barierę dla dalszych wzrostów cen ropy naftowej.",dziennie,dziennie,"tensor([[   330,   7734,    275,    285,    260,    259, 107728,   2290,   2722,
            259,  92025,    265,   3878,  18640, 134308,   7074,   8463,    259,
         186010,    414,   4208,    259,  57459, 141292,    268,   1218,   1610,
          10215,    259,  43022,    330,   7734,    275,   2709,  55114,    669,
            352,  14930,    288,    455,   1209,    856, 230052,    259, 121119,
            985,    259,  19327,  91003,  35540,    295,   1241,   2506,   2283,
          13117,  18640,  38611,   1174,  17217,    259, 186010, 121789,   6955,
            260,      1]])","tensor([[   259, 125799,    265,      1]])"
b.,"środę.  Tusk musi poczekać  Małgorzata Wassermann pytana, czy komisja przesłucha <mask> premiera Donalda Tuska, szefowa komisji powiedziała: - Jestem już dość mocno zmęczona",byłego,były,"tensor([[ 21951,   1241,    260,   2313,   1186,  11894,    485,  90491,   1209,
          81600,  72416,   1319,  18216,   4502, 113551,    377,    261,   5598,
          41102,    462,   3645, 100395,   1042,  55114,    669,   8876,    262,
          20443,    262,   2313,   1855,    261,    259, 153243,   4553,  41102,
            976,    259,  58942,    262,    267,    259,    264,    259,  81970,
            282,   1218,   1610,    331,   5580,  11525,    505,    397,  55348,
         174611,      1]])","tensor([[  455, 49152,     1]])"
Ad.,"i Pracowników Prokuratury oraz prokurator Małgorzaty Bednarek reprezentującej Stowarzyszenie <mask> Vocem, którzy poprzez swoje oświadczenia w mediach wydali wyrok skazujący na śmierć",Ad.,Ad.,"tensor([[   259,    266,  31776, 174387,    363, 215339,    276,    259,   3711,
            731, 207321,  81600,  72416,  88542,   7452,   4480,    592,  61245,
         135569,    320,  71988,   2909,   1042,  55114,    669, 155068,    470,
            261,    259,   1743,   2938,  53674,    360,    259,    263,  32208,
            259,    268, 105310,    262,    414,   3706,    697,  14811,    494,
           1628,  15139,   4429,    360,  51657,    294,    259,  85536,   1209,
              1]])","tensor([[4515,  260,    1]])"
c.,"celu indywidualizacji, reklamy lub promocji przedsiębiorcy, towarów lub usług,  <mask> o ochronę dóbr osobistych w związku z działalnością naukową lub wynalazczą.  © Licencja",c.,c.,"tensor([[ 15337,    259,  87990,  71723,    261,  16508,    276,   2919,   5415,
           8463, 135919,   2888,    261,  61973,   1174,   2919,    259,  30148,
            261,   1042,  55114,    669,    259,    268,    259,  71730,   1241,
          21402,   1817,   6532,    417,  10011,    414,    259,  43995,    662,
            397,  12711,    280,  52520,  64161,  18180,   2919,   1628, 123311,
          37888,    260,   4333,    259, 102141,    462,      1]])","tensor([[317, 260,   1]])"
ub. roku. Np.,"poszybowały trochę w górę, przynajmniej w porównaniu do początku tego lub końca <mask> za pośrednictwem jednego z biur nieruchomości we Włocławku sprzedane zostało ostatnio",ubiegłego roku Na przykład,ubiegły rok na przykład,"tensor([[   485, 183594, 111319,    259,  18415,   1241,    414,  47272,   1241,
            261,   2890,  22419,  32121,    414, 102325,   9605,    342,  24229,
          38575,    273,    259,   4139,   2919,    259,  28938,    262,   1042,
          55114,    669,    466,    259,  52100,    297, 139269,    384,  72318,
            397,  77863,  82269,    787,    259, 135094,    297,  80070,    662,
          69052,    405,    259,  14183,    268,    259,  49113,    268,      1]])","tensor([[  259,   273, 37587, 49152,  4351,   727,  2890,  8789,     1]])"
m.,stopniu podium mistrzostw świata stanęła w 2017 i 2019 roku po biegach na 10 000 <mask> W tegorocznych igrzyskach olimpijskich w Tokio była czwarta na dystansie dwukrotnie,metrów,metr,"tensor([[   259,  64516,    273,    259,  94898,    259,  73644, 225937,  21902,
            262,   3736, 116829,    414,    598,    259,    266,    607,   4351,
            485,  81510,   1483,    294,    475,   2311,   1042,  55114,    669,
            564,    400,  62806,  41862, 169346,  32220,    697,  70276,    385,
          32824,    414,  38420,    268,    259,   7615,    262,    317,  72145,
            262,    294,  23391, 159555,    265,  68447, 126321,    634,      1]])","tensor([[  824, 64058,     1]])"
n.,"łaskę.  Celami aliantów stały się ośrodki przemysłowe: Essen, Manheim, Frankfurt <mask> Menem, Hanower, Kassel. Najpoważniejszym wyzwaniem ze względu na skomasowaną niemiecką",nad,nad,"tensor([[   259,   4005,    263,  10167,    260,   8550,   1708, 128711,  42275,
           3736,   4430,    947,    259,    268,  72140,    650,    421, 175642,
            265,    267,  33032,    261,   1782,  13603,    261,  28588,   1042,
          55114,    669,   1623,    470,    261,   2437, 130490,    261, 107556,
            280,    260,   7339,   1331,  67462,   2722, 114777, 194390,   1478,
            259,  42873,  15407,   1176,    294,    259,  43332,    358, 124731,
            259,    272, 164328,   5665,      1]])","tensor([[3159,    1]])"
Ono.,"zdjęcie nagiego Johna Lennona w pozycji embrionalnej, który przytulony jest do Yoko <mask> Fotografia ta powstała na kilka godzin przed śmiercią muzyka.",Ono.,Ono.,"tensor([[ 40107,    265,   6603,  52770,   4040,    262,  61699,   1934,    414,
          67268,    266,    259, 169206,    272, 149401,    261,    259,   1743,
            276,   2890,  37599,    680,   1402,    342, 143780,   1042,  55114,
            669,    259, 142634,    576,  44851,  30320,    294,  16842,    262,
          29324,  10723,    259,  85536, 138934,    259, 206111,    260,      1]])","tensor([[157108,    260,      1]])"
Tv.,"przewozu drobnicy o łącznej pojemności 600 tys. TEU - poinformowała irańska Press <mask> Zlecenie dostaw dotyczyć ma największych kontenerowców, o pojemności po 18 tys.",Tv.,Tv.,"tensor([[148421,   1962,  89830,  42328,    259,    268,    259,  32596,   2794,
            485,   5417,  14068,   5388,  72632,    260,    366,   8776,    259,
            264,    485,  34990,  58944,    619, 208949,   6237,   1042,  55114,
            669,    736, 145373,    265,  74521,  24597,  35481,    496,   1895,
          11118,   3039,  84950,    295, 120102,    261,    259,    268,    485,
           5417,  14068,    485,    812,  72632,    260,      1]])","tensor([[18017,   260,     1]])"
n.,"Ekstraklasa: Aksam Unia Oświęcim - Comarch Cracovia (pt. 18), Cracovia - JKH Jastrzębie (<mask> 18.30).  Ekstraklasa: Bank BPS Muszynianka Fakro - AZS Białystok (s. 17).  I liga",niedziela,niedziela,"tensor([[ 68907,  30608,    262,    267,   3994,   5458,   6988,    262,    443,
         109650,  57531,    259,    264,   2993,  66224,  47121, 129374,    274,
           2766,    260,    812,    506,  47121, 129374,    259,    264,    664,
          24251,  17829,    270,  73194,  18610,    274,   2709,  55114,    669,
            259, 115333,    483,  68907,  30608,    262,    267,   3989,    364,
          11957,    352, 136066,    516,  14145,  53588,    938,    259,    264,
            298,  23037,  68942, 186972,    274,    263,    260,    911,    483,
            336,  30788,      1]])","tensor([[   716, 110930,      1]])"
n.,17) Wisła S. - Łysica (n. 17) Czarni – Spartakus (n. 17) Sparta – Cracovia II (<mask> 17)  Cracovia II – Garbarnia (n.11) Spartakus – Sparta (s. 11) Łysica – Czarni (n.,niedziela,niedziela,"tensor([[   911,    271,  69143,   4005,    320,    260,    259,    264,  27410,
            276, 115645,    274,    272,    260,    911,    271, 110289,    266,
            322,    259, 147978,    438,    274,    272,    260,    911,    271,
          88479,    322,  47121, 129374,   2052,    274,   2709,  55114,    669,
            911,    271,  47121, 129374,   2052,    322, 102901, 148316,    274,
            272,    260,  38848,    259, 147978,    438,    322,  88479,    274,
            263,    260,    730,    271,  27410,    276, 115645,    322, 110289,
            266,    274,    272,    260,      1]])","tensor([[   716, 110930,      1]])"
Etc.,"w Chinach grzecznie współpracuje z reżimem w cenzurowaniu netu i tropieniu dysydentów. <mask> Z korpo jak z ruskimi - głaszczesz ich to cię kopią, kopiesz, to cię głaszczą. IKEA",Et cetera,et cetera,"tensor([[   414,   3182,    697, 105533,  41891,  39601,  71609,    397,    584,
           1610,    780,    470,    414,    259, 164883,  45088,   5284,    273,
            259,    266,  13444,  85404,  23391,    276,    368, 107507,    260,
           1042,  55114,    669,    736, 167195,   1801,    397,  17332,  37484,
            259,    264,    259,    318,  80038,  25965,   1356,    288,    259,
         125485,  22553,    761,    261, 120957,   2781,    261,    288,    259,
         125485,    259,    318,  80038,    761,    260,    259,  95165,      1]])","tensor([[ 2845,   982, 13786,     1]])"
o.,"której my, tu na Jasnej Górze jesteśmy stróżami - powiedział przeor Jasnej Góry <mask> Marian Waligóra, cytowany przez Radio Jasna Góra. W Kaplicy Matki Bożej rozpoczyna",ojciec,ojciec,"tensor([[   259,   1743,   1057,   1037,    261,    719,    294,  17829,   2794,
          61936,   1043,   1402,    265,  48456,   7380,  71593,   1708,    259,
            264,    259,  58942,   3645,    723,  17829,   2794,  61936,    276,
           1042,  55114,    669,  36757,  73691, 160748,    262,    261, 106470,
          22623,   3715,   7436,  17829,    377,  61936,    262,    260,    564,
          17574, 159426,   6558,    650,    364,  14930,    385,  32230,  68722,
              1]])","tensor([[   259,   1171, 153848,      1]])"
w.,"pierwsza wystawa prac Rodina w Polsce. Co ich łączy?  Rodin na przełomie XIX i XX <mask> był podziwiany, wręcz wielbiony. Wśród jego asystentów znaleźli się jedni z najważniejszych",wieku,wiek,"tensor([[ 13615,    262,    259,  94946,    262,  10638,  18693,   1112,    414,
          24408,    541,    260,   1288,   1356,    259,  74100,    291,  18693,
            348,    294, 172035, 135983,    259,  25990,    259,    266,  20944,
           1042,  55114,    669,    259,   7615,    485,  94865,   5557,    261,
            414,  40179,  26319,  12543,    680,    260,    564,   3376,  17197,
            259,  10778,    527, 119766,  42275,  29027,  56430,    494,    947,
          11628,    266,    397,   1895,  67462,   3039,      1]])","tensor([[1968,  662,    1]])"
j.,"spotkania będzie prowadzona przez rodowitych Tajwańczyków (zapewniamy tłumaczenie z <mask> angielskiego na j. polski).  Część druga, która odbędzie się w budynku Centrum Kultury",języka,język,"tensor([[  8796,  85462,    330,   6324,    259,  76663,    262,   3715, 105342,
           3367,  10011,  57392,    969, 207562,   1174,    274,    745,  25825,
          29808,    259,  50136,   2909,    397,   1042,  55114,    669,    259,
          92373,   1796,    294,    259,    385,    260,    259,  53171,    483,
            371,  33534,  10442,   4911,    262,    261,    259,   1743,    262,
          74433,   6324,    947,    414,   7157,    276,  21091,  40144,  16382,
            276,      1]])","tensor([[  259, 35766,   479,     1]])"
p.,"spółce o nazwie POLYmedia z kapitałem 5050 zł, ale tam właścicielami i zarządem są <mask> Stanisław i Małgorzata Dorosz (rodzice?)'.  'Twórcy kampanii #MimoWszystkoDuda mają",państwo,państwo,"tensor([[   259,  35268,    541,    259,    268,  36940,   8614,    259, 152331,
           3074,    397,  28261,  58295,    259,  89440,   4932,    261,   1281,
           2335,    414,  87043,   1708,    259,    266,    259,  71556,    470,
           3395,   1042,  55114,    669,  15597, 102333,    259,    266,  81600,
          72416,   1319,    431, 116919,    274,  76565,    265,  32501,    277,
            260,    259,    277,    490, 141389,   2888,    259,  64040,    266,
            387, 108977,  94553,    268,    403,   6960,    496,   2684,      1]])","tensor([[  421, 96262,     1]])"
b.,"kulturowo ioskarżany oprozelityzm, Kościół katolicki igreckokatolicki na terenach <mask> ZSRR do dzisiaj zmaga się zpozostałościami marksistowskiego spojrzenia na religię.",byłego,były,"tensor([[  9996,   9394,    259,    266, 183251,   1610,   5557,    585, 131493,
            494, 235196,    261,    259,  95557,  17311,    259, 177435,    266,
         169346,  58788, 177435,    266,    294,  31537,   1483,   1042,  55114,
            669,    259,  23037,  21087,    342,  14121,  40071,    397,  22330,
            947,    397,   1331,  14183,   5727,   1708, 101009,   1905, 110350,
          23386,  30473,    294,  22998,   1241,    260,      1]])","tensor([[  455, 49152,     1]])"
sob. godz.,"Krzysztof Michalec, więc sytuacja kadrowa jest stabilna. Soła Oświęcim – Unia Tarnów (<mask> 15; sędziuje: Artur Szelc z Krosna). MKS Trzebinia – JKS Jarosław (sob. godz. 15;",sobota godzina,sobota godzina,"tensor([[   412, 102348,  53347,    265,    297,    261,    259,  19752,   2060,
            876,  12759, 100073,    969,   1402,  17692,    377,    260,   1525,
           4005,    443, 109650,  57531,    322,   6988,    262, 101825,   1174,
            274,   2709,  55114,    669,    670,    296,    259,    263, 102669,
           1466,    267,    259,  74814,    320,   9514,    297,    397, 207186,
            377,    483,    352,  12016,   1830,   1043,  59141,    262,    322,
            664,  12016,  17076, 110688,    274,  67774,    260,  49126,    260,
            670,    296,      1]])","tensor([[  259, 41784,   262, 29324,   262,     1]])"
w.,"jej, miejsca. Ale zachłanność tych chimookomaanag była niezmierzona: w połowie XX <mask> postanowili odebrać Czipewejom nawet i te jałowe resztki ich dawnej ojczyzny.  Mądrość",wieku,wiek,"tensor([[  6064,    261,   8401,    262,    260,   7063,  26029,   4005,    272,
          18603,    259,  10011,    562,   2817,   6221,  47971,    318,    259,
           7615,    262,    716, 143924,  37495,    267,    414,    485, 105845,
          20944,   1042,  55114,    669,    485,  19327,    494,    682,  64208,
           1209,    371,  21598,  24859,  46208,    294,   7765,    259,    266,
            400,    432, 114767,    259,  71159,    650,   1356,    350, 128118,
            259,   1171,  90280,    276,    260,    352,  55330,    286,   5580,
              1]])","tensor([[1968,  662,    1]])"
h.,"zabudowany z prędkością 105 km/h, przekraczając tym samym dozwoloną prędkość o 55 km/<mask> Policjanci zatrzymali mężczyźnie prawo jazdy. Został ukarany mandatem oraz punktami",godzinę,godzina,"tensor([[   466, 112583,    276,    397,    259,  72527,    285,    314,  45540,
          13824,   1006,    275,    334,    261, 126318,    262, 213829,   4559,
           2290,   2722,    342,  57776,  78522,    259,  72527,    285,  60413,
            259,    268,   3958,   1006,    275,   2709,  55114,    669,  59226,
           4164,    769,    466,  52409,    494,    326,  24934,  14508,  51726,
            259,  69502,    259,  14627,    276,    260,   5429,  59852,    259,
         210155,    680,  28314,    470,    259,   3711,  18199,   1708,      1]])","tensor([[29324,  1241,     1]])"
dr. hab. n. med.,"pacjent na takie leczenie nie może czekać dłużej niż osiem tygodni. Zdaniem prof. <mask> Krzysztofa Selmaja, kierownika Kliniki i Katedry Neurologii Uniwersyteckiego Szpitala",doktora habilitowanego nauk medycznych,doktor habilitowany nauki medyczne,"tensor([[ 21735,  30497,    294,    259,  32026,    340,  43953,    716,    259,
           4123,    265,  99406,   5129,    259,  41195,   1057,    259,  12729,
            259,    337,   3336,    259,  51226,    260,  97106,  62554,  25015,
            260,   1042,  55114,    669,    412, 102348,    262,  11535,  34150,
            261,  58681,   5764,  68171,    266,    259,    266,    259, 162653,
            276,    259, 165291,    266,    266,    581,  75453,    276,    346,
          87348,   9580,  40690,    262,      1]])","tensor([[165428, 117240,  85087,  64161,    499,  57473,      1]])"
ile.,"ubezpieczyciel przygotowuje kosztorys, z którego wynika, za jaką naprawę chce zapłacić i <mask> Poszkodowany wówczas szuka i wybiera warsztat naprawczy, który podejmuje się naprawy",ile.,ile.,"tensor([[   259,    273,  29211, 132736, 226968,    280, 119832,   1466,  33102,
          33029,    263,    261,    397,    259,   1743,   1796,    259,  46938,
            262,    261,    466,   1801,    761,    259,  39238,   1241,   9915,
            466,  52430,   7155,    259,    266,   1042,  55114,    669,   1139,
          55723,  22623,    414,   1174,  12347,    259,  45470,    259,    266,
           1628,  53435,   2381, 119147,    259,  39238,  14508,    261,    259,
           1743,    276,  68050,  56052,    947,    259,  39238,    276,      1]])","tensor([[2222,  260,    1]])"
m.,"wydała decyzję na mocy, której w Golubiu-Dobrzyniu powrócono do dawnej granicy 20 <mask> Sprawa Brodnicy nie została rozstrzygnięta. Miasto musi przedstawić plany zagospodarowania",metrów; marca,"metr, marzec","tensor([[ 14811,   4005,    269,  41779,  10108,    294,    259, 107772,    261,
            259,   1743,   1057,    414,   2544, 138947,    273,    264, 109943,
           2938,   9605,    485,  40824,   3602,    342,    350, 128118,    259,
          73156,    276,    628,   1042,  55114,    669,    320,  48601,  78389,
          42328,    716,    259,  14183,    262,   2392, 178782,  40087,  99326,
            260,    352, 122500,  11894,  39192,   1209,   2127,    276,    466,
         145800,   8443,      1]])","tensor([[  824, 64058,   296,  5503,     1]])"
g.,przedpołudniowych kwalifikacjach wystartują mężczyźni w wyścigu drużynowym na dochodzenie (<mask> 10). „Celem jest awans do czołowej ósemki. To dla nas warunek kontynuowania przygotowań,godzina,godzina,"tensor([[ 10723, 122460,   4579,    259, 100897, 136407,   1628,   6283,  11295,
            326,  24934,  14508,  36584,    414,    414, 103230,   2871,  25996,
           5318, 135631,    294,  13091, 214159,    274,   2709,  55114,    669,
            475,    483,    565,    424,  24306,   1402,    259,  25036,    263,
            342,    259,   2268, 210614,   1057,    259,    553,   6524,    650,
            260,    926,   2506,   1755,  69566,   2098,  20376,  96654,   8443,
          40092,   9161,      1]])","tensor([[29324,   262,     1]])"
o.,"krakowskiego na częstochowskim spotkaniu. Po lekturze tego tekstu uwierzyłem, że w sprawie <mask> Rydzyka...",ojca,ojciec,"tensor([[ 41398, 198143,    294,    317, 194953,  30896,    259,  53724,   9605,
            260,   1139,  24183,   1752,   1043,    259,   4139, 109967,    259,
            273, 150363,  16032,    261,   1810,    414,    259,  44470,   1042,
          55114,    669, 121882, 102146,    302,      1]])","tensor([[ 259, 1171,  750,    1]])"
ws. tzw.,"stanął po stronie życia - powiedział szef BBN Paweł Soloch, odnosząc się do wyroku TK <mask> aborcji eugenicznej. W czwartek Trybunał Konstytucyjny orzekł, że przepis zezwalający",w sprawie tak zwanej,w sprawie tak zwany,"tensor([[  3736,  83321,    485,   9693,    634,  23106,    262,    259,    264,
            259,  58942,    259, 153243,    364,  21742,  37680,  43647,  19745,
            697,    261,  98534, 205204,    947,    342,   1628,  73979,  90857,
           1042,  55114,    669,  80526,   8463,    259, 189333, 151885,    260,
            564,    317,  72145,    592,  28729,   1982, 138842,   1590, 118846,
          90574,    259, 111156, 173664,    261,   1810,  51038,   1478, 189704,
          52610,      1]])","tensor([[   414,    259,  44470,    756,    397, 222932,      1]])"
